fecha,dia_semana,turno,pos_01,pos_02,pos_03,pos_04,pos_05,pos_06,pos_07,pos_08,pos_09,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20
2025-05-05,Lunes,LA PREVIA,5388,1185,3397,4715,1206,2381,9312,1383,6779,2283,8126,9669,3052,1848,6806,8194,6003,4166,5505,2607
2025-05-05,Lunes,LA PRIMERA,0938,1463,9163,9609,7903,6103,2898,7363,6515,4898,6769,5742,9057,0830,9879,4008,5951,6793,7948,7269
2025-05-05,Lunes,MATUTINA,5600,6860,0022,5359,5942,2740,9887,6191,1635,0310,0115,8214,6541,2953,0505,4929,3510,6184,1846,7626
2025-05-05,Lunes,VESPERTINA,0984,3776,2972,9860,4270,1957,4649,0616,3872,5459,4958,2746,8195,4741,8401,3055,0646,2167,1777,9654
2025-05-05,Lunes,NOCTURNA,6957,9992,8791,7988,3934,3013,2928,1774,8998,6138,1935,8831,4007,2483,9725,5838,7723,7883,5691,4354
2025-05-06,Martes,LA PREVIA,3316,9043,2019,3163,3127,9977,9763,3649,1950,5684,5462,5234,1678,6324,5311,5484,6614,7997,7284,9788
2025-05-06,Martes,LA PRIMERA,6119,6770,7272,8871,4545,1949,0458,2891,4880,6169,5564,9220,3936,8296,7194,4443,9319,0495,9649,1833
2025-05-06,Martes,MATUTINA,2681,4663,3192,0032,0069,9332,9168,9779,7197,8663,9618,1957,3766,5896,1905,4099,5919,4405,3909,1753
2025-05-06,Martes,VESPERTINA,3333,3130,3425,5032,6249,6996,9176,0198,1242,8210,1089,6983,1063,2372,8912,9089,2256,6749,1175,7628
2025-05-06,Martes,NOCTURNA,7068,8024,2980,5989,7953,5446,8859,9753,7815,6488,6388,6974,4240,6442,1207,0347,8940,7533,1103,6761
2025-05-07,Miércoles,LA PREVIA,1537,3243,7613,3972,3285,2732,7944,6145,7343,7087,9890,7003,1148,3326,0231,0133,7596,2765,7802,2954
2025-05-07,Miércoles,LA PRIMERA,5829,3732,3114,4460,4295,9765,5087,0364,9777,5520,7515,1484,6844,5606,7823,4701,0073,6536,5266,7527
2025-05-07,Miércoles,MATUTINA,7302,5875,9990,3060,7829,3890,3220,7053,5592,1462,0049,6696,7389,2250,4000,9527,6481,8912,5570,7193
2025-05-07,Miércoles,VESPERTINA,8056,1873,3772,0096,4721,2393,3548,6171,5584,3729,4287,8677,2906,5984,8498,0328,2387,5756,5645,3636
2025-05-07,Miércoles,NOCTURNA,3535,1273,7762,1675,7123,5015,8588,7272,1205,1704,9283,2421,5116,5779,8764,3549,3639,3057,2903,8790
2025-05-08,Jueves,LA PREVIA,8697,2065,1702,8756,2407,6026,0000,4918,5010,6054,0462,5159,3210,2130,0426,6660,3125,3844,8833,6508
2025-05-08,Jueves,LA PRIMERA,5940,0292,8544,9738,8348,5682,9055,2082,3035,3672,3762,6688,1284,8992,3344,7094,2289,0522,2362,5245
2025-05-08,Jueves,MATUTINA,1383,0541,1248,3042,3798,9845,2364,9512,8969,5351,1182,1676,7242,0363,0129,8960,9261,9282,5391,3595
2025-05-08,Jueves,VESPERTINA,0538,9185,8043,3926,5809,2983,5161,0268,8229,8631,5033,3407,6132,6031,7527,2136,0557,3517,2169,6716
2025-05-08,Jueves,NOCTURNA,8176,7713,2221,4248,4778,4817,7119,5723,1614,1356,7438,8528,4350,8336,7651,4590,6543,7525,7475,4216
2025-05-09,Viernes,LA PREVIA,7253,2909,3983,5170,3225,5758,8752,7746,1042,4728,0026,8369,1983,6080,6741,1934,5054,3175,7290,8024
2025-05-09,Viernes,LA PRIMERA,0746,5034,2864,0385,2952,5347,2638,1070,5901,8669,4117,3018,5270,8297,4648,0165,8032,5223,6063,9716
2025-05-09,Viernes,MATUTINA,9438,5685,6359,2100,0420,1490,5831,3264,6516,7229,5251,9907,5786,4290,7577,0192,2245,0460,5812,5023
2025-05-09,Viernes,VESPERTINA,2270,0652,5796,2444,6894,9674,2408,2785,0543,4965,5937,5966,8704,3386,5115,6107,9953,8575,5814,0926
2025-05-09,Viernes,NOCTURNA,8206,1853,5749,4581,2459,4414,0731,0489,6120,1997,1109,1628,8125,9758,3389,1197,2555,6674,0515,5036
2025-05-10,Sábado,LA PREVIA,6189,5124,5276,7964,0055,1224,5663,5173,5514,6902,2481,3906,7874,0353,7447,2407,8050,5154,2377,5809
2025-05-10,Sábado,LA PRIMERA,7234,8410,8546,6947,0183,2364,3718,6874,9662,6687,4806,5703,5722,1129,3594,6058,5338,5144,4505,9101
2025-05-10,Sábado,MATUTINA,7071,2220,6894,5821,7469,0576,1844,9810,5268,2722,8132,3333,2482,0524,7757,3027,8333,1423,3429,1974
2025-05-10,Sábado,VESPERTINA,1256,8336,1183,3763,6277,2226,5576,5499,3703,0749,8263,0629,4863,3701,0826,3029,7570,5148,9762,6076
2025-05-10,Sábado,NOCTURNA,2763,9172,0094,8163,3167,6433,3486,4627,5067,3225,4303,9175,6479,4020,9773,6359,8249,7492,8856,6478
2025-05-12,Lunes,LA PREVIA,2717,9808,7796,8477,0267,8659,0555,6815,3883,6430,3267,9525,8472,3045,0301,0972,6519,7969,6705,3514
2025-05-12,Lunes,LA PRIMERA,8656,1919,4208,6906,6937,2200,6250,3283,7892,6458,5129,5277,1002,3620,5070,9007,4544,9466,1039,1047
2025-05-12,Lunes,MATUTINA,1156,9757,0095,0876,9347,6862,0814,6352,2663,2236,4938,2841,3064,1539,7789,8841,5786,6406,0397,6956
2025-05-12,Lunes,VESPERTINA,2363,7664,1528,1649,5007,5754,0239,5829,2884,1755,3962,8050,2518,2750,9956,9330,8982,9412,4365,1084
2025-05-12,Lunes,NOCTURNA,7445,5883,7756,4425,0119,8435,2899,3383,7203,8672,4067,2919,5274,6313,7370,4276,0254,2759,3661,4813
2025-05-13,Martes,LA PREVIA,2090,0684,5764,1967,8553,4629,8145,1531,5062,9518,0845,0966,3608,3890,1207,0929,9525,5621,8513,2264
2025-05-13,Martes,LA PRIMERA,0798,6640,8168,8709,8226,2618,8334,0963,1440,1946,5561,0869,1156,4462,0163,4776,2464,0915,0479,9414
2025-05-13,Martes,MATUTINA,6714,0905,4646,0497,1459,7189,6458,6484,2939,4559,6496,8345,1877,6673,5571,0522,8533,8386,9926,9964
2025-05-13,Martes,VESPERTINA,6812,9733,6395,4130,2068,0314,9585,6996,2746,7396,9949,5362,0089,3096,6362,5530,3947,9683,7136,2077
2025-05-13,Martes,NOCTURNA,1679,8737,6349,2348,5272,0839,0301,2318,6684,2284,8872,2139,1509,1108,4683,8652,9819,9609,3775,8950
2025-05-14,Miércoles,LA PREVIA,8906,8187,0294,4661,7387,7360,3203,5619,0996,0208,6719,7088,6331,3794,9985,0656,3547,0940,8662,8184
